brand,year,selling_price,km_driven,fuel_type,transmission,owner_type
Hyundai,2011,11.714398773039933,13368,Petrol,Automatic,First Owner
Mercedes,2008,39.633962466726146,181578,Petrol,Automatic,First Owner
Bmw,2014,42.94839114236026,57419,Petrol,Automatic,First Owner
Ford,2016,3.2137687123556677,179253,Diesel,Manual,Second Owner
Ford,2009,3.5209770211691835,143322,Petrol,Manual,First Owner
Skoda,2018,16.158936461827643,54660,Petrol,Manual,Third Owner
Hyundai,2016,6.636178830938278,120036,Petrol,Manual,Fourth & Above Owner
Audi,2007,39.02038219616697,13980,Lpg,Automatic,First Owner
Tata,2021,3.0,176941,Petrol,Manual,Second Owner
Hyundai,2005,3.9448668768635766,79430,Petrol,Manual,First Owner
Renault,2016,3.112691745246637,98952,Petrol,Manual,First Owner
Kia,2012,17.10472664742307,43498,Petrol,Manual,First Owner
Mercedes,2016,53.397282902477755,94420,Diesel,Automatic,First Owner
Mercedes,2018,49.268243036123586,101968,Diesel,Manual,Second Owner
Audi,2017,37.62175463214573,60113,Petrol,Manual,Second Owner
Mercedes,2016,39.928015329176496,244939,Diesel,Manual,Second Owner
Renault,2020,3.0,73553,Petrol,Manual,Second Owner
Hyundai,2017,15.108913685433343,49362,Diesel,Manual,Third Owner
Skoda,2019,5.423104774049001,139310,Petrol,Manual,Second Owner
Ford,2012,8.69297904508873,83124,Petrol,Automatic,Third Owner
Renault,2008,3.0,116220,Diesel,Automatic,Second Owner
Honda,2009,3.0,182653,Cng,Manual,First Owner
Mahindra,2016,23.374753816772913,24164,Diesel,Automatic,Second Owner
Nissan,2014,3.0,129749,Diesel,Manual,First Owner
Mercedes,2006,50.27374283453101,10311,Diesel,Manual,First Owner
Bmw,2008,43.23456947094682,15762,Diesel,Manual,Third Owner
Ford,2022,18.799879894328665,27668,Petrol,Automatic,Third Owner
Skoda,2018,16.678792612921203,44614,Petrol,Manual,Fourth & Above Owner
Volkswagen,2018,10.662579285796639,90612,Diesel,Manual,First Owner
